Airline,Airline_ID,Source_Airport,Source_Airport_ID,Destination_Airport,Destination_Airport_ID,Codeshare,Stops,Equipment,IATA_Source,Latitude_Source,Longitude_Source,IATA_Destination,Latitude_Destination,Longitude_Destination,Airport_Name,IATA_x,Latitude,Longitude,IATA_y,ISO_Country_Source,Scheduled_Service_Source,IATA,ISO_Country_Destination,Scheduled_Service_Destination
NZ,345,NPL,2023,CHC,2009,Y,0,DH3,NPL,-39.00859832763672,174.1790008544922,CHC,-43.48939895629883,172.53199768066406,New Plymouth Airport,NPL,-39.00859832763672,174.1790008544922,NPL,NZ,yes,CHC,NZ,yes
NZ,345,NPL,2023,WLG,2042,Y,0,DH3,NPL,-39.00859832763672,174.1790008544922,WLG,-41.3272018433,174.804992676,New Plymouth Airport,NPL,-39.00859832763672,174.1790008544922,NPL,NZ,yes,WLG,NZ,yes
NZ,345,NRT,2279,AKL,2006,,0,763 772,NRT,35.764702,140.386002,AKL,-37.01199,174.786331,Narita International Airport,NRT,35.764702,140.386002,NRT,JP,yes,AKL,NZ,yes
NZ,345,NSN,2024,AKL,2006,Y,0,DH3 AT7,NSN,-41.298302,173.220993,AKL,-37.01199,174.786331,Nelson Airport,NSN,-41.298302,173.220993,NSN,NZ,yes,AKL,NZ,yes
NZ,345,NSN,2024,CHC,2009,Y,0,AT7 DH3,NSN,-41.298302,173.220993,CHC,-43.48939895629883,172.53199768066406,Nelson Airport,NSN,-41.298302,173.220993,NSN,NZ,yes,CHC,NZ,yes
NZ,345,NSN,2024,PMR,2028,Y,0,BEH,NSN,-41.298302,173.220993,PMR,-40.320599,175.617004,Nelson Airport,NSN,-41.298302,173.220993,NSN,NZ,yes,PMR,NZ,yes
NZ,345,NSN,2024,WLG,2042,Y,0,DH3 BEH AT7,NSN,-41.298302,173.220993,WLG,-41.3272018433,174.804992676,Nelson Airport,NSN,-41.298302,173.220993,NSN,NZ,yes,WLG,NZ,yes
NZ,345,OOL,3321,AKL,2006,,0,320,OOL,-28.165962,153.506641,AKL,-37.01199,174.786331,Gold Coast Airport,OOL,-28.165962,153.506641,OOL,AU,yes,AKL,NZ,yes
NZ,345,OOL,3321,CHC,2009,,0,320,OOL,-28.165962,153.506641,CHC,-43.48939895629883,172.53199768066406,Gold Coast Airport,OOL,-28.165962,153.506641,OOL,AU,yes,CHC,NZ,yes
NZ,345,PER,3351,AKL,2006,,0,772,PER,-31.94029998779297,115.96700286865234,AKL,-37.01199,174.786331,Perth International Airport,PER,-31.94029998779297,115.96700286865234,PER,AU,yes,AKL,NZ,yes
NZ,345,PMR,2028,AKL,2006,Y,0,AT7 DH3,PMR,-40.320599,175.617004,AKL,-37.01199,174.786331,Palmerston North Airport,PMR,-40.320599,175.617004,PMR,NZ,yes,AKL,NZ,yes
NZ,345,PMR,2028,CHC,2009,Y,0,DH3 AT7,PMR,-40.320599,175.617004,CHC,-43.48939895629883,172.53199768066406,Palmerston North Airport,PMR,-40.320599,175.617004,PMR,NZ,yes,CHC,NZ,yes
NZ,345,PMR,2028,HLZ,2015,Y,0,BEH,PMR,-40.320599,175.617004,HLZ,-37.8666992188,175.332000732,Palmerston North Airport,PMR,-40.320599,175.617004,PMR,NZ,yes,HLZ,NZ,yes
